Source;Target;Type;Weight;Label
7;0;Undirected;15.0;
7;1;Undirected;10.0;
3;2;Undirected;5.0;
7;3;Undirected;10.0;
7;4;Undirected;20.0;
7;6;Undirected;20.0;
3;8;Undirected;7.0;
14;10;Undirected;5.0;
7;12;Undirected;25.0;
10;13;Undirected;5.0;
7;14;Undirected;5.0;
7;19;Undirected;15.0;
7;22;Undirected;18.0;
14;9;Undirected;20.0;
10;5;Undirected;7.0;
2;11;Undirected;5.0;
10;15;Undirected;7.0;
19;16;Undirected;7.0;
0;17;Undirected;7.0;
15;18;Undirected;7.0;
0;20;Undirected;15.0;
2;21;Undirected;6.0;
