Source;Target;Type;Id;Label;Weight;year
0;1;Undirected;98;;99;
0;2;Undirected;99;;15;
0;3;Undirected;100;;25;
0;4;Undirected;101;;15;
0;5;Undirected;102;;35;
0;6;Undirected;103;;30;
0;7;Undirected;104;;15;
0;8;Undirected;105;;15;
0;9;Undirected;106;;35;
0;10;Undirected;107;;30;
0;11;Undirected;108;;25;
0;12;Undirected;109;;25;
1;3;Undirected;111;;25;
1;4;Undirected;112;;15;
1;5;Undirected;113;;45;
1;6;Undirected;114;;25;
1;7;Undirected;115;;10;
1;8;Undirected;116;;15;
1;11;Undirected;119;;20;
1;10;Undirected;118;;15;
2;3;Undirected;121;;5;
2;4;Undirected;122;;15;
2;5;Undirected;123;;20;
2;6;Undirected;124;;10;
2;7;Undirected;125;;25;
2;8;Undirected;126;;20;
2;9;Undirected;127;;20;
2;10;Undirected;128;;15;
2;11;Undirected;129;;5;
2;12;Undirected;130;;99;
3;7;Undirected;131;;10;
3;8;Undirected;132;;7;
3;9;Undirected;133;;15;
3;10;Undirected;134;;10;
3;12;Undirected;135;;99;
4;6;Undirected;136;;10;
4;7;Undirected;137;;20;
4;8;Undirected;138;;10;
4;12;Undirected;139;;25;
5;6;Undirected;140;;30;
5;8;Undirected;141;;20;
5;10;Undirected;142;;7;
5;12;Undirected;143;;45;
6;7;Undirected;144;;20;
6;8;Undirected;145;;20;
6;10;Undirected;146;;15;
6;11;Undirected;147;;10;
6;12;Undirected;148;;30;
7;8;Undirected;149;;25;
7;10;Undirected;150;;11;
7;12;Undirected;151;;25;
8;10;Undirected;152;;25;
9;10;Undirected;153;;15;
9;12;Undirected;154;;25;
13;7;Undirected;155;;20;
13;1;Undirected;156;;20;
13;0;Undirected;157;;12;
13;8;Undirected;158;;15;
13;16;Undirected;159;;10;
13;10;Undirected;160;;5;
14;1;Undirected;161;;25;
14;2;Undirected;162;;25;
14;0;Undirected;163;;17;
14;8;Undirected;164;;15;
14;12;Undirected;165;;99;
14;9;Undirected;166;;20;
14;7;Undirected;167;;5;
14;10;Undirected;168;;5;
15;1;Undirected;169;;45;
15;0;Undirected;170;;18;
15;2;Undirected;171;;34;
15;6;Undirected;172;;20;
15;8;Undirected;173;;17;
15;10;Undirected;174;;7;
15;16;Undirected;175;;5;
15;18;Undirected;176;;7;
16;1;Undirected;177;;30;
16;8;Undirected;178;;8;
16;10;Undirected;179;;15;
16;0;Undirected;180;;17;
16;2;Undirected;181;;17;
16;6;Undirected;182;;25;
16;17;Undirected;183;;17;
16;15;Undirected;184;;7;
17;1;Undirected;185;;20;
17;8;Undirected;186;;17;
17;0;Undirected;187;;7;
17;2;Undirected;188;;7;
17;10;Undirected;189;;15;
17;6;Undirected;190;;7;
17;18;Undirected;191;;7;
18;1;Undirected;192;;26;
18;5;Undirected;193;;20;
18;0;Undirected;194;;17;
18;8;Undirected;195;;30;
18;10;Undirected;196;;17;
18;6;Undirected;197;;7;
18;2;Undirected;198;;17;
19;1;Undirected;199;;36;
19;8;Undirected;200;;24;
19;0;Undirected;201;;17;
19;2;Undirected;202;;15;
19;11;Undirected;203;;25;
19;9;Undirected;204;;19;
19;7;Undirected;205;;15;
19;16;Undirected;206;;7;
20;9;Undirected;207;;20;
20;1;Undirected;208;;45;
20;2;Undirected;209;;30;
20;0;Undirected;210;;15;
20;8;Undirected;211;;20;
20;21;Undirected;212;;17;
20;12;Undirected;213;;16;
21;1;Undirected;214;;17;
21;9;Undirected;215;;20;
21;2;Undirected;216;;6;
21;8;Undirected;217;;17;
21;0;Undirected;218;;7;
22;2;Undirected;219;;5;
22;1;Undirected;220;;12;
22;0;Undirected;221;;15;
22;8;Undirected;222;;25;
22;7;Undirected;223;;18;
22;9;Undirected;224;;10;
